repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
10,0.9194630872483222,0.8862388328825506,0.8430516124335736,0.8623026569118213,0.8430516124335735,[0.8430516124335735]
